aar;video_url;kommune;tittel;tema;hva_er_spesielt;folelse;antrekk;type_bygg_og_industri;type_historisk;type_natur_og_idrett;type_kunst_og_haandverk;type_idrett_og_fysisk_aktivitet;tema_samlere_entusiaster_og_oppfinnere;tema_vitenskap;relasjoner;type_musikere;type_mat;type_dyr;antall_menn;antall_kvinner;tema_natur_og_friluftsliv;tema_kjop_og_salg;type_landbruk_og_fiske;offentlige_tjenester_og_veldedighet;hovedperson1_kjonn;hovedperson2_kjonn;hovedperson3_kjonn;hovedperson1_alder;hovedperson2_alder;hovedperson3_alder;tema_politikk_og_media
2005;https://tv.nrk.no/serie/norge-rundt/PRHO04002005/20-05-2005#t=19m48s;Etnedal;Etnedal: Bustenskjold;Kunst og Håndverk;;Ler;Caps;;;;Teater og forestillinger, Tegning og maling;;;;;;;;10;10;;;;;Mann;Kvinne;Mann;70 til 80;90 til 100;90 til 100;
2005;https://tv.nrk.no/serie/norge-rundt/PRHO04002105/27-05-2005#t=27s;Ukjent sted;Jæren: Gamle traktorer (Mellomstikk);Samlere entusiaster og oppfinnere;;;Caps, Hatt, Kjeledress;;;;;;Traktor;;;;;;50;;;;;;Mann;Mann;Mann;40 til 50;20 til 30;60 til 70;
2005;https://tv.nrk.no/serie/norge-rundt/PRHO04002105/27-05-2005#t=27s;Ukjent sted;Jæren: Gamle traktorer (Mellomstikk);Samlere entusiaster og oppfinnere;;;Caps, Hatt, Kjeledress;;;;;;Traktor;;;;;;50;;;;;;Mann;Mann;Mann;40 til 50;20 til 30;60 til 70;
2005;https://tv.nrk.no/serie/norge-rundt/PRHO04002105/27-05-2005#t=2m31s;Nøtterøy;Nøtterøy: BP-stasjon;Samlere entusiaster og oppfinnere;;;Caps, Hatt, Kjeledress, Slips;;;;;;Biler, Motor;;;;;;5;;;;;;Mann;Mann;;60 til 70;50 til 60;;
2005;https://tv.nrk.no/serie/norge-rundt/PRHO04002105/27-05-2005#t=8m35s;Nesset;Eikesdalen: Eikesdalsau;Landbruk og fiske;;Wow;Caps, Kjeledress;;;;;;;;;;;;1;1;;;Sauehold, Seterdrift;;Mann;Kvinne;;60 til 70;60 til 70;;
2005;https://tv.nrk.no/serie/norge-rundt/PRHO04002105/27-05-2005#t=14m37s;Førde;Førde: Strikkeklubb;Kunst og Håndverk;Spesielle kombinasjoner;;Hijab eller burka, Paljetter, Strikkekofte;;;;Hekling, Strikking;;;;;;;;;20;;;;;Kvinne;Kvinne;;70 til 80;70 til 80;;
2005;https://tv.nrk.no/serie/norge-rundt/PRHO04002105/27-05-2005#t=18m36s;Bergen;Bergen: Sirkusdame;Idrett og fysisk aktivitet;Sirkus;;Paljetter, Treningsklær;;;;;Turn;;;;;;;;2;;;;;Kvinne;;;20 til 30;;;
2005;https://tv.nrk.no/serie/norge-rundt/PRHO04002205/03-06-2005?autostart=true#t=27s;Bergen;Bergen: Gamlehaugen (Mellomstikk);Ukategoriserbart;;;Caps, Hatt, Kjeledress, Slips;;;;;;;;;;;;10;1;;;;;Mann;Mann;Mann;60 til 70;40 til 50;60 til 70;
2005;https://tv.nrk.no/serie/norge-rundt/PRHO04002205/03-06-2005#t=2m47s;Ukjent sted;Oppland: 1905-samling;Samlere entusiaster og oppfinnere;;;;;;;;;;;;;;;1;;;;;;Mann;;;60 til 70;;;
2005;https://tv.nrk.no/serie/norge-rundt/PRHO04002205/03-06-2005#t=8m55s;Levanger;Levanger: Fotografering;Historisk;;;;;Fotografi, Gamle dager, Museum;;;;;;;;;;;2;;;;;Kvinne;;;40 til 50;;;
2005;https://tv.nrk.no/serie/norge-rundt/PRHO04002205/03-06-2005#t=15m6s;Ukjent sted;Torpa: Klokkesamler;Samlere entusiaster og oppfinnere;Spesiell latter;Ler;;;;;;;;;;;;;1;;;;;;Mann;;;50 til 60;;;
2005;https://tv.nrk.no/serie/norge-rundt/PRHO04002205/03-06-2005#t=19m17s;Hasvik;Sørvær: Finnmarksfiske;Landbruk og fiske;;;Caps, Kjeledress;;;;;;;;;;;;2;;;;Fiskebruk og fiskeforedling, Fiskere;;Mann;;;60 til 70;;;
2005;https://tv.nrk.no/serie/norge-rundt/PRHO04002305/10-06-2005#t=27s;Askøy;Askøy: Viksund båtbyggeri (Mellomstikk);Kunst og Håndverk;;;Caps, Kjeledress;;;;Båt;;;;;;;;7;2;;;;;Mann;;;40 til 50;;;
2005;https://tv.nrk.no/serie/norge-rundt/PRHO04002305/10-06-2005#t=2m;Drammen;Drammen: Tempo-gutta;Samlere entusiaster og oppfinnere;Livsstil, Rare arrangement eller klubber eller foreninger;Ler;Caps, Hjelm;;;;;;Motorsykler;;;;;;30;;;;;;Mann;Mann;;40 til 50;40 til 50;;
2005;https://tv.nrk.no/serie/norge-rundt/PRHO04002305/10-06-2005#t=7m12s;Halden;Halden: Perlemuslinger;Ukategoriserbart;;;;;;;;;;;;;;;1;;;;;;Mann;;;40 til 50;;;
2005;https://tv.nrk.no/serie/norge-rundt/PRHO04002305/10-06-2005#t=11m11s;Utlandet;Tromsø: Yebo;Ukategoriserbart;Spesielle kombinasjoner;Elsker, Ler;Caps;;;;;;;;;;;;30;30;;;;;Mann;Mann;;40 til 50;40 til 50;;
2005;https://tv.nrk.no/serie/norge-rundt/PRHO04002305/10-06-2005#t=15m32s;Karmøy;Karmøy: Pez;Samlere entusiaster og oppfinnere;;;;;;;;;;;Familie;;;;3;2;;;;;Mann;Kvinne;;40 til 50;40 til 50;;
2005;https://tv.nrk.no/serie/norge-rundt/PRHO04002305/10-06-2005#t=20m4s;Fitjar;Fitjar: Såpekoker;Kunst og Håndverk;Hjemmelaget, Spesiell jobb;;;;;;;;;;;;;;1;1;;;;;Kvinne;;;50 til 60;;;
2005;https://tv.nrk.no/serie/norge-rundt/PRHO04002405/17-06-2005#t=27s;Oslokommune;Oslo: Norsk Telemuseum (Mellomstikk);Historisk;;;Caps, Hjelm, Slips;;Museum;;;;;;;;;;20;20;;;;;Mann;Kvinne;Mann;50 til 60;40 til 50;50 til 60;
2005;https://tv.nrk.no/serie/norge-rundt/PRHO04002405/17-06-2005#t=3m11s;Bindal;Bogen i Bindal: Gammelbutikken;Kjøp og salg;;Ler;;;;;;;;;;;;;4;4;;Landhandel, Spesialbutikk;;;Mann;Kvinne;;80 til 90;40 til 50;;
